DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-10-07,EQ,109.35,109.95,105.1,109.35,107.6,108.05,107.16,583.4,99.8,247663,26539697.65,3510,RAMASTEEL
2022-10-06,EQ,113.5,113.65,108.5,110.0,109.9,109.35,111.06,583.4,99.8,350400,38915163.25,3428,RAMASTEEL
2022-10-04,EQ,107.3,110.0,106.95,104.8,110.0,110.0,109.32,583.4,99.8,886666,96930382.55,3490,RAMASTEEL
2022-10-03,EQ,106.5,110.6,104.45,107.25,105.0,104.8,107.08,583.4,99.8,339525,36355993.0,12987,RAMASTEEL
2022-09-30,EQ,101.0,107.25,100.8,102.15,107.25,107.25,104.82,583.4,99.8,309701,32463893.0,10315,RAMASTEEL
2022-09-29,EQ,105.0,105.4,101.2,101.4,102.2,102.15,102.4,583.4,99.8,170465,17455118.95,1931,RAMASTEEL
2022-09-28,EQ,99.8,103.75,99.8,103.9,101.7,101.4,101.68,583.4,99.8,185041,18815497.85,3061,RAMASTEEL
2022-09-27,EQ,105.1,109.0,102.15,106.4,103.35,103.9,105.97,583.4,102.15,635601,67355265.55,20040,RAMASTEEL
2022-09-26,EQ,111.95,111.95,106.4,111.95,106.4,106.4,107.75,583.4,106.4,312801,33702987.4,3121,RAMASTEEL
2022-09-23,EQ,113.85,114.2,111.3,113.45,111.6,111.95,112.68,583.4,109.5,201988,22759678.9,2099,RAMASTEEL
2022-09-22,EQ,115.0,115.45,113.0,115.3,113.5,113.45,114.0,583.4,109.5,184900,21078444.2,2117,RAMASTEEL
2022-09-21,EQ,115.5,118.8,113.0,116.6,114.2,115.3,115.6,583.4,109.5,468746,54188480.9,4725,RAMASTEEL
